"pays","Country Code","Area","Production","Import Quantity","Food","Population growth (annual %)","Population, total","Ease of doing business score (0 = lowest performance to 100 = best performance)","GDP (constant 2015 US$)","Cost to import, border compliance (US$)","Cost to import, documentary compliance (US$)","Political Stability and Absence of Violence/Terrorism: Estimate","comlang_off","dist","EEE"
"Malaisie","MYS","Malaysia",0.0537405739987829,0.00228483512050737,0.039249085494743,1.32884901520668,31949789,81.47337,11414.5787043907,212.5,60,0.1438768,0,10436.4,0
"Namibie","NAM","Namibia",0.00440965891689156,0.0124272205839671,0.0116254644172596,1.87040232780685,2494524,61.35078,4506.17392778272,145,62.5,0.5296495,0,8084.97,0
"Niger","NER","Niger",0.000815075673985002,0.000128696159050264,0.00111536671176895,3.79420663603704,23310719,56.75932,523.884234457653,461.5,282,-1.410087,1,3932.638,0
"Nigéria","NGA","Nigeria",0.00119424610435552,5.97123052177762e-05,0.0012539584095733,2.56487195537782,200963603,56.87589,2502.652281009,1076.786,564.2857,-1.920183,0,4722.149,0
"Nicaragua","NIC","Nicaragua",0.0213887305528697,0.00106943652764348,0.0200137407316138,1.22975908801825,6545503,54.38673,1984.8167752697,399.7778,86.11111,-1.004794,0,8906.699,0
"Pays-Bas","NLD","Netherlands",0.059729462433685,0.0347076606033575,0.00524650683539125,0.65507157480522,17344874,76.10376,48443.7320540283,0,0,0.8475496,0,427.9169,1
"Norvège","NOR","Norway",0.0200078685150197,0.000560968276122049,0.0201948579403938,0.675061373245644,5347896,82.62729,76005.224786526,125,0,1.170565,0,1342.89,1
"Népal","NPL","Nepal",0.00220212617029461,0,0.00220212617029461,1.80944248570395,28608715,63.1866,1069.78909780076,190,80,-0.4538026,0,7244.016,0
"Nouvelle-Zélande","NZL","New Zealand",0.0481995461209407,0.000200831442170586,0.0283172333460527,1.59316723078585,4979300,86.76465,40315.47098301,366.5,80,1.411302,0,19263.88,0
"Oman","OMN","Oman",0.00140703743845216,0.0231156150602855,0.0227136043635849,2.96857894027324,4974992,69.98474,16694.1322691229,243.5714,124,0.5875344,0,5620.005,0
"Pakistan","PAK","Pakistan",0.00703252035504836,0,0.00491306740497141,2.02296715968838,216565317,60.95491,1489.65360439829,287,130,-2.265187,0,5932.586,0
"Panama","PAN","Panama",0.0527500682924991,0.00518081027872759,0.0562824389370861,1.65193014674349,4246440,66.56045,15073.0007568845,490,50,0.3036199,0,8671.104,0
"Pérou","PER","Peru",0.0542286972113777,0.00218391236642531,0.0405100364307342,1.6161567459337,32510462,68.69658,6611.49276445785,700,80,-0.152365,0,10268.11,0
"Philippines","PHL","Philippines",0.0135594321472604,0.00283027710577195,0.0132912032712232,1.36449622326603,108116622,62.82943,3664.79066968155,689.5,67.5,-0.9151124,0,10751.64,0
"Papouasie-Nouvelle-Guinée","PNG","Papua New Guinea",0.000797619084244414,0.00341836750390463,0.00387414983775858,1.95370007291066,8776119,59.77357,2816.71877428544,940,85,-0.6973711,0,14565.84,0
"Pologne","POL","Poland",0.0673770050289111,0.00231789540365292,0.0284468981357404,-0.0244271070993493,37965475,76.38122,15016.6732968109,0,0,0.5636535,0,1368.178,1
"Portugal","PRT","Portugal",0.0340259625871903,0.00874953323670608,0.0324704900117759,0.0237334946497115,10286263,76.46616,21617.411624379,0,0,1.066231,0,1452.86,1
"Paraguay","PRY","Paraguay",0.0109302974928879,0.00014195191549205,0.0102205379154276,1.26523860853119,7044639,59.05401,5774.16616003464,500,135,-0.0103485,0,10168.73,0
"Roumanie","ROU","Romania",0.0261722699070311,0.00671083843770029,0.0238492873709041,-0.526814821936341,19371648,73.3332,11221.7083913628,0,0,0.5617022,0,1875.018,1
"Russie","RUS","Russian Federation",0.0318961239499165,0.00160657854024764,0.0316676020023813,-0.0495686654330689,144406261,78.16284,10104.7495324765,520,152.5,-0.5573844,0,2494.316,0
"Rwanda","RWA","Rwanda",0.00150471951315513,0,0.00166311104085567,2.60731374636986,12626938,76.48282,885.599611645732,282.1429,121.0714,0.0642397,1,6253.41,0
"Arabie saoudite","SAU","Saudi Arabia",0.0233450347401839,0.0189678407263994,0.0418167934783544,1.66477670240957,34268529,70.87175,19801.8742165029,464.4615,267,-0.6058908,0,4694.5,0
"Soudan","SDN","Sudan",0.00175179466107643,0,0.0013080066802704,2.39143408960219,42813237,44.82932,1198.51786673816,1092.5,420,-1.701787,0,4612.387,0
"Îles Salomon","SLB","Solomon Islands",0,0.00597174468999927,0.00597174468999927,2.56539282268413,669821,55.26279,2289.58684324274,740,215,0.5082222,0,15178.2,0
"Sierra Leone","SLE","Sierra Leone",0.00255976835120329,0.00255976835120329,0.00409562936192526,2.10903821950532,7813207,47.45831,649.760301889204,821,387.1429,-0.0528448,0,4724.351,0
"Salvador","SLV","El Salvador",0.0227781608572026,0.00294411602916224,0.0254123699359267,0.509699113997832,6453550,65.25247,3993.52906223341,128.3333,66.66667,-0.1064181,0,8984.298,0
